진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018,ADHD, 강원 , 정선군 , 남 ,0,0,0
2018,ADHD, 강원 , 정선군 , 여 ,0,0,0
2018,ADHD, 강원 , 철원군 , 남 ,0,0,0
2018,ADHD, 강원 , 철원군 , 여 ,0,0,0
2018,ADHD, 강원 , 평창군 , 남 ,0,0,0
2018,ADHD, 강원 , 평창군 , 여 ,0,0,0
2018,ADHD, 강원 , 홍천군 , 남 ,0,0,0
2018,ADHD, 강원 , 홍천군 , 여 ,0,0,0
2018,ADHD, 강원 , 화천군 , 남 ,0,0,0
2018,ADHD, 강원 , 화천군 , 여 ,0,0,0
2018,ADHD, 강원 , 횡성군 , 남 ,0,0,0
2018,ADHD, 강원 , 횡성군 , 여 ,0,0,0
2018,ADHD, 강원 , 강릉시 , 남 ,131,945,74722200
2018,ADHD, 강원 , 강릉시 , 여 ,14,88,6459460
2018,ADHD, 강원 , 동해시 , 남 ,0,0,0
2018,ADHD, 강원 , 동해시 , 여 ,0,0,0
2018,ADHD, 강원 , 속초시 , 남 ,11,73,2603280
2018,ADHD, 강원 , 속초시 , 여 ,0,0,0
2018,ADHD, 강원 , 원주시 , 남 ,441,3411,258448740
2018,ADHD, 강원 , 원주시 , 여 ,103,771,56011980
2018,ADHD, 강원 , 춘천시 , 남 ,269,1451,62948760
2018,ADHD, 강원 , 춘천시 , 여 ,40,317,22537100
2018,ADHD, 강원 , 태백시 , 남 ,0,0,0
2018,ADHD, 강원 , 태백시 , 여 ,0,0,0
2018,ADHD, 강원 , 삼척시 , 남 ,13,56,2928180
2018,ADHD, 강원 , 삼척시 , 여 ,0,0,0
2018,ADHD, 충북 , 괴산군 , 남 ,0,0,0
2018,ADHD, 충북 , 괴산군 , 여 ,0,0,0
2018,ADHD, 충북 , 단양군 , 남 ,0,0,0
2018,ADHD, 충북 , 단양군 , 여 ,0,0,0
2018,ADHD, 충북 , 보은군 , 남 ,0,0,0
2018,ADHD, 충북 , 보은군 , 여 ,0,0,0
2018,ADHD, 충북 , 영동군 , 남 ,0,0,0
2018,ADHD, 충북 , 영동군 , 여 ,0,0,0
2018,ADHD, 충북 , 옥천군 , 남 ,0,0,0
2018,ADHD, 충북 , 옥천군 , 여 ,0,0,0
2018,ADHD, 충북 , 음성군 , 남 ,0,0,0
2018,ADHD, 충북 , 음성군 , 여 ,0,0,0
2018,ADHD, 충북 , 진천군 , 남 ,24,158,10763170
2018,ADHD, 충북 , 진천군 , 여 ,0,0,0
2018,ADHD, 충북 , 증평군 , 남 ,0,0,0
2018,ADHD, 충북 , 증평군 , 여 ,0,0,0
2018,ADHD, 충북 , 청주상당구 , 남 ,52,305,17216330
2018,ADHD, 충북 , 청주상당구 , 여 ,17,70,3965980
2018,ADHD, 충북 , 청주흥덕구 , 남 ,349,2772,152014290
2018,ADHD, 충북 , 청주흥덕구 , 여 ,93,749,39628090
2018,ADHD, 충북 , 청주청원구 , 남 ,70,286,24009790
2018,ADHD, 충북 , 청주청원구 , 여 ,0,0,0
2018,ADHD, 충북 , 청주서원구 , 남 ,131,520,49693770
2018,ADHD, 충북 , 청주서원구 , 여 ,32,134,10700790
2018,ADHD, 충북 , 충주시 , 남 ,88,463,42763080
